parameter,true_value,fitted_value,error_percent
A,100000.000000,99999.656250,-0.00
x0,0.500000,0.499780,-0.04
y0,0.500000,0.499234,-0.15
sigma_x,1.000000,0.999579,-0.04
sigma_y,1.500000,1.497913,-0.14
rho,0.300000,0.297844,-0.72
iterations,-,665,-
converged,-,1,-
final_likelihood,-,-222270.125000,-
