parameter,true_value,fitted_value,error_percent
A,100000.000000,100000.000000,0.00
x0,0.500000,0.498935,-0.21
y0,0.500000,0.498223,-0.36
sigma_x,1.000000,1.003021,0.30
sigma_y,1.500000,1.488921,-0.74
rho,0.300000,0.297687,-0.77
iterations,-,3239,-
converged,-,1,-
final_likelihood,-,-221924.984375,-
