parameter,true_value,fitted_value,error_percent
A,100000.000000,100000.000000,0.00
x0,0.500000,0.502584,0.52
y0,0.500000,0.501814,0.36
sigma_x,1.000000,1.017452,1.75
sigma_y,1.500000,1.472712,-1.82
rho,0.300000,0.297909,-0.70
iterations,-,2322,-
converged,-,1,-
final_likelihood,-,-221856.562500,-
